gispropnum,q1,q2,q3,q4,budsum
M066,320,217,822,1047,2406
M201,328,90,35,282,735
Q045,72,383,0,644,1099
M200A,1502,114,348,1107,3071
X148M,55,0,36,301,392
B223B,466,780,575,457,2278
B023,0,59,114,344,517
X280,62,219,620,173,1074
Q133,655,77,0,47,779
X110D,0,454,98,75,627
B405,39,39,0,26,104
B043,743,1524,3100,1242,6609
X110C,0,84,83,0,167
X110B,0,0,0,0,0
B222,464,1486,1106,1647,4703
Q285,90,0,139,0,229
B223IB,0,0,0,24,24
X086,0,26,0,39,65
M257,19,302,217,918,1456
Q267,0,155,0,826,981
R033,383,0,0,1812,2195
B166E,0,0,0,0,0
B255H,59,19,0,36,114
B255L,0,56,0,7387,7443
M171,2527,592,0,132,3251
X112,230,283,254,748,1515
M154,1,0,52,7643,7696
B063,30,39,0,66,135
Q357G,277,26,0,212,515
X148H2,1331,946,9,215,2501
B390,188,21,69,44,322
Q034,19,0,0,0,19
Q463,0,0,9,0,9
Q393E,45,0,0,0,45
B265,505,660,1114,240,2519
B386,0,0,129,0,129
Q066C,38,40,56,0,134
Q451,31,0,0,410,441
X148L,148,385,1671,326,2530
M110,165,52,270,248,735
M116,29,199,35,118,381
M279,48,1857,612,0,2517
R021,0,0,0,0,0
M295,0,76,0,260,336
Q101,1118,164,46,225,1553
M280,0,52,0,181,233
B255G,219,351,0,0,570
X150H,22,0,0,42,64
B158,1901,1551,427,1023,4902
X148M1,284,469,230,147,1130
M161,806,189,203,1246,2444
X292,1305,606,208,168,2287
M196,39,414,21,107,581
M355,5614,327,42,333,6316
B308,169,422,84,463,1138
X073,0,0,82,42,124
B210F,28,56,0,0,84
X014,632,206,699,1087,2624
X336,354,482,237,349,1422
X009,256,645,310,346,1557
M203B,355,2931,0,50,3336
R024,0,1002,0,179,1181
M203E,406,130,188,735,1459
M125C,29,814,40,226,1109
B167,225,212,4804,569,5810
R037,22,188,182,290,682
X197,1193,2067,278,547,4085
M096,0,886,245,0,1131
Q283,0,0,0,0,0
Q447,167,89,56,23,335
M113,369,190,5,196,760
Q046,482,871,258,293,1904
M264,515,158,131,173,977
X093,332,93,349,391,1165
R050,0,0,0,0,0
M386,26,883,1703,1371,3983
X149,70,96,0,0,166
B223OC,212,283,70,28,593
X084,0,191,164,0,355
X114,378,493,488,209,1568
X244,231,396,124,778,1529
X026,14,26,56,570,666
M404,166,0,0,0,166
M080,15,39,0,0,54
Q341D,0,0,0,0,0
M145,0,775,12,1214,2001
B223PB,0,39,212,39,290
B118B,0,5,0,438,443
M251,501,272,1837,943,3553
X148C3,915,173,90,125,1303
M255,0,575,10,1406,1991
B223OB,54,28,0,0,82
Q021B,0,103,61,103,267
B255J,81,39,0,108,228
M166,5,284,90,58,437
M208G,0,0,654,0,654
X148C7,31,405,8,278,722
Q393G,985,0,0,0,985
M156,0,0,134,0,134
Q341C,0,52,56,150,258
B118A,0,32,0,56,88
X150L,182,132,88,191,593
M265,187,131,0,105,423
M055,0,267,12,52,331
X286,279,645,49,652,1625
X291,100,120,583,0,803
B154,0,66,86,634,786
Q370,107,26,28,215,376
M256,1317,481,686,217,2701
B097,276,387,0,133,796
X180,0,13,0,77,90
X205,162,333,42,129,666
Q360U,0,0,0,0,0
B212,36,44,28,129,237
Q096A,399,469,77,336,1281
Q434,1425,103,0,77,1605
Q047,233,134,0,46,413
B223PC,609,1330,167,0,2106
X281,0,44,238,135,417
M006,0,158,377,103,638
X068,321,210,147,244,922
X139,9,0,0,0,9
B233,0,0,0,0,0
R080,358,423,163,132,1076
Q222,0,0,0,56,56
B223H,3,116,187,169,475
X224,56,77,18,739,890
B093,3,0,0,125,128
B121,173,264,0,214,651
B200,0,77,21,87,185
X148C5,468,540,277,165,1450
X058,448,78,396,63,985
Q136,703,0,0,0,703
B223PE,4989,0,363,39,5391
X057,38,14,48,13,113
X274,48,0,0,56,104
B255D,0,0,0,240,240
X150G,0,0,0,0,0
R010,264,0,0,0,264
B210G,0,0,0,0,0
Q003,0,0,42,0,42
X283,150,293,634,86,1163
M218,96,17,0,226,339
M208F,0,52,0,396,448
Q133B,0,52,45,52,149
R036,29,697,753,22,1501
M101,0,0,52,0,52
X242,26,61,56,119,262
B184,0,5,0,0,5
B210P,71,71,28,659,829
M178,0,269,10,133,412
M302,0,52,202,77,331
M191,1153,693,0,1327,3173
Q065,2169,1380,19,1715,5283
Q424,0,14,0,190,204
Q393F,0,0,0,0,0
Q073,0,52,0,81,133
M195,84,84,0,115,283
Q040,546,0,0,0,546
M246,0,579,14,36,629
B223PA,0,94,0,77,171
BT16,193,397,83,1163,1836
M292,54,16,117,52,239
M060C,391,0,0,181,572
Q456,1361,77,479,99,2016
M044,10,397,198,159,764
X037,0,0,0,0,0
X287,151,571,537,82,1341
B305,168,163,448,403,1182
M301,446,153,838,9,1446
B389,236,0,44,0,280
Q029,112,278,90,934,1414
M001,5,586,15,185,791
M027,1229,5182,558,205,7174
Q296,13,28,167,67,275
X043,38,0,0,0,38
Q284,61,0,0,28,89
